지역명,연도,월,평당분양가격,전용면적
서울,2015.0,10.0,19275.3,모든면적
서울,2015.0,10.0,18651.6,60㎡
서울,2015.0,10.0,19410.6,60㎡~85㎡
서울,2015.0,10.0,18879.3,85㎡~102㎡
서울,2015.0,10.0,19400.7,102㎡~
인천,2015.0,10.0,10437.9,모든면적
인천,2015.0,10.0,11510.4,60㎡
인천,2015.0,10.0,10292.699999999999,60㎡~85㎡
인천,2015.0,10.0,11698.5,85㎡~102㎡
인천,2015.0,10.0,11246.4,102㎡~
경기,2015.0,10.0,10355.4,모든면적
경기,2015.0,10.0,10315.8,60㎡
경기,2015.0,10.0,10688.699999999999,60㎡~85㎡
경기,2015.0,10.0,11536.8,85㎡~102㎡
경기,2015.0,10.0,12144.0,102㎡~
부산,2015.0,10.0,10269.599999999999,모든면적
부산,2015.0,10.0,9735.0,60㎡
부산,2015.0,10.0,9896.699999999999,60㎡~85㎡
부산,2015.0,10.0,9758.1,85㎡~102㎡
부산,2015.0,10.0,11550.0,102㎡~
대구,2015.0,10.0,8850.6,모든면적
대구,2015.0,10.0,8626.199999999999,60㎡
대구,2015.0,10.0,8896.8,60㎡~85㎡
대구,2015.0,10.0,8438.1,85㎡~102㎡
대구,2015.0,10.0,8573.4,102㎡~
광주,2015.0,10.0,7986.0,모든면적
광주,2015.0,10.0,7434.9,60㎡
광주,2015.0,10.0,8048.7,60㎡~85㎡
대전,2015.0,10.0,8098.2,모든면적
대전,2015.0,10.0,8530.5,60㎡
대전,2015.0,10.0,8012.4,60㎡~85㎡
대전,2015.0,10.0,8121.299999999999,85㎡~102㎡
울산,2015.0,10.0,10074.9,모든면적
울산,2015.0,10.0,7992.599999999999,60㎡
울산,2015.0,10.0,10032.0,60㎡~85㎡
울산,2015.0,10.0,9738.3,85㎡~102㎡
울산,2015.0,10.0,8877.0,102㎡~
세종,2015.0,10.0,8718.6,모든면적
세종,2015.0,10.0,8487.6,60㎡
세종,2015.0,10.0,8768.1,60㎡~85㎡
세종,2015.0,10.0,8725.199999999999,85㎡~102㎡
세종,2015.0,10.0,8883.6,102㎡~
강원,2015.0,10.0,7151.099999999999,모든면적
강원,2015.0,10.0,7543.799999999999,60㎡
강원,2015.0,10.0,7299.599999999999,60㎡~85㎡
강원,2015.0,10.0,6801.299999999999,85㎡~102㎡
